"Id","Probability"
100004,0.71782
100015,0.180486
100026,0.413984
100030,0.220125
100047,0.284785
100052,0.149151
100056,0.076495
100061,0.165719
100067,0.217258
100068,0.400552
100082,0.23943
100084,0.596829
100097,0.525454
100098,0.670432
100100,0.07329
100122,0.82743
100128,0.374567
100134,0.419707
100138,0.146022
100146,0.412659
100161,0.3002
100167,0.449443
100184,0.280406
100187,0.620153
100189,0.5653
100202,0.374905
100206,0.14817
100212,0.656771
100218,0.122582
100219,0.159768
100226,0.27609
100227,0.550351
100229,0.800357
100243,0.121434
100257,0.451827
100258,0.436334
100265,0.321614
100274,0.46408
100276,0.300585
100287,0.318629
100289,0.171447
100294,0.591234
100307,0.229072
100313,0.131618
100322,0.649411
100326,0.339887
100332,0.596145
100334,0.369303
100339,0.430191
100344,0.428867
100351,0.550191
100359,0.481562
100375,0.859433
100392,0.616632
100401,0.566619
100403,0.233191
100419,0.280975
100426,0.598486
100432,0.658049
100433,0.293776
100444,0.319646
100448,0.815526
100452,0.478779
100456,0.342451
100465,0.473416
100475,0.406407
100479,0.330441
100483,0.223185
100490,0.228187
100492,0.472393
100499,0.924021
100505,0.128456
100509,0.711961
100513,0.809704
100514,0.134665
100519,0.307502
100528,0.656913
100530,0.520168
100536,0.818389
100541,0.826969
100543,0.557547
100544,0.12713
100554,0.089073
100562,0.418403
100563,0.084312
100569,0.522829
100572,0.533179
100574,0.690038
100578,0.464188
100594,0.79965
100595,0.407261
100598,0.12287
100603,0.443912
100604,0.453806
100606,0.243077
100617,0.241658
100634,0.362841
100638,0.48093
100641,0.706183
100649,0.818029
100653,0.554395
100654,0.469915
100655,0.47984
100676,0.235144
100678,0.306272
100692,0.396914
100698,0.265091
100703,0.802261
100708,0.202257
100712,0.595738
100713,0.080613
100716,0.287554
100722,0.39041
100729,0.663971
100733,0.363541
100739,0.634068
100747,0.471398
100751,0.293857
100759,0.242557
100765,0.719183
100767,0.714993
100772,0.674103
100780,0.613082
100783,0.695008
100787,0.322773
100815,0.284364
100817,0.519339
100818,0.563618
100830,0.522802
100840,0.847711
100843,0.748717
100857,0.304023
100859,0.186049
100865,0.132886
100873,0.492402
100886,0.689479
100893,0.407293
100896,0.42511
100913,0.781013
100918,0.763708
100921,0.095471
100928,0.269038
100945,0.91048
100947,0.530402
100952,0.330635
100955,0.414206
100959,0.545558
100960,0.20952
100962,0.139265
100972,0.769582
100980,0.5344
100999,0.304554
101000,0.836253
101002,0.131296
101003,0.374085
101010,0.081519
101012,0.704639
101023,0.607691
101031,0.799348
101039,0.77841
101040,0.225969
101050,0.460512
101054,0.857637
101056,0.491244
101060,0.06701
101068,0.413416
101082,0.129646
101083,0.518695
101093,0.293697
101099,0.329398
101107,0.420664
101111,0.083502
101113,0.535226
101115,0.114998
101119,0.204578
101123,0.658634
101125,0.402139
101129,0.52605
101130,0.49038
101132,0.929157
101135,0.546812
101140,0.456001
101145,0.54212
101153,0.113063
101156,0.26854
101159,0.504542
101162,0.482683
101171,0.397286
101181,0.139405
101197,0.253478
101228,0.509116
101235,0.819375
101238,0.257679
101243,0.147667
101256,0.621494
101263,0.160075
101264,0.210486
101267,0.275382
101298,0.384563
101299,0.476426
101304,0.896488
101310,0.201436
101314,0.467723
101319,0.065172
101320,0.437813
101326,0.779382
101336,0.336347
101338,0.297256
101342,0.934876
101343,0.239551
101348,0.347252
101354,0.685644
101361,0.677742
101368,0.473854
101375,0.458618
101392,0.3494
101394,0.507879
101407,0.230935
101415,0.562734
101423,0.462324
101434,0.167938
101435,0.792009
101436,0.461132
101438,0.298572
101440,0.34557
101467,0.606689
101474,0.652232
101475,0.309254
101479,0.21709
101480,0.668332
101486,0.225964
101502,0.082244
101511,0.218111
101515,0.363822
101527,0.321144
101532,0.773818
101540,0.122414
101552,0.624923
101557,0.192033
101560,0.684117
101562,0.509788
101572,0.631807
101573,0.15009
101589,0.445878
101594,0.473503
101619,0.351017
101630,0.946703
101639,0.815649
101641,0.313249
101642,0.238734
101643,0.831535
101644,0.027563
101645,0.577956
101648,0.311087
101652,0.704401
101656,0.595939
101660,0.531465
101665,0.710241
101668,0.740939
101670,0.023979
101673,0.160145
101678,0.180293
101679,0.477265
101681,0.237532
101683,0.201789
101689,0.232151
101692,0.150855
101701,0.632813
101706,0.306033
101712,0.241213
101719,0.42349
101738,0.655475
