86(100 %)      404 SBM_map67
86(100 %)      402 SBM_map61
86(100 %)      302 FNC302
86(100 %)      295 FNC295
86(100 %)      244 FNC244
86(100 %)      243 FNC243
86(100 %)      226 FNC226
86(100 %)      194 FNC194
86(100 %)      183 FNC183
78( 91 %)      292 FNC292
76( 88 %)      410 SBM_map75
26( 30 %)      220 FNC220
25( 29 %)      289 FNC289
21( 24 %)       33 FNC33
9( 10 %)      333 FNC333
6(  7 %)       37 FNC37
3(  3 %)      297 FNC297
3(  3 %)       78 FNC78
2(  2 %)       62 FNC62
1(  1 %)      365 FNC365
1(  1 %)      321 FNC321
1(  1 %)      313 FNC313
1(  1 %)      221 FNC221
1(  1 %)      156 FNC156
1(  1 %)      128 FNC128
1(  1 %)      118 FNC118
