@relation 'data-weka.filters.unsupervised.attribute.Remove-R1,3,6-10,12-15,17-23,25,27-66,68-92,94-99,101-136,138-196,198-239,241-251,253-274,277-326,328-410-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R1-3,8-9,13,16'

@attribute SBM_map17 numeric
@attribute SBM_map36 numeric
@attribute SBM_map61 numeric
@attribute SBM_map67 numeric
@attribute FNC68 numeric
@attribute FNC165 numeric
@attribute FNC208 numeric
@attribute FNC243 numeric
@attribute FNC244 numeric
@attribute Class {1,0}

@data
0.137624,-1.062109,-0.982331,0.220316,-0.37906,0.11937,0.59557,-0.4439,-0.018865,1
0.972934,0.044317,-0.057543,-0.513081,0.16781,0.39938,0.59454,-0.11175,0.20775,0
-1.488153,0.414747,0.597229,-0.059213,-0.20588,0.49823,0.20288,-0.34577,0.021225,0
0.187573,-0.026555,0.829697,-0.791032,0.003632,0.15174,0.43269,0.53232,0.54228,0
1.961955,-1.027496,-0.978412,0.889753,-0.41691,0.015609,0.49156,0.030757,-0.12422,1
0.24054,1.277215,1.304894,-0.741826,0.076205,0.32825,0.70322,0.29394,0.45701,0
1.850079,0.178606,-0.721235,-0.558963,-0.019875,0.18099,0.62859,-0.35308,0.000779,1
0.519186,1.408724,-0.041895,0.91698,0.19458,-0.32245,0.238,-0.34492,0.27559,1
-0.155557,0.025781,-0.241914,1.287397,0.4098,-0.19148,0.69602,-0.25078,0.062806,1
-0.403885,0.49458,-0.873955,-0.706736,-0.2291,-0.14663,0.51647,-0.60664,0.078067,0
0.815227,0.72411,0.359318,-0.541126,-0.083177,0.3959,0.29252,-0.42461,0.69985,1
0.964257,-0.33609,-0.030364,-0.300549,-0.077361,-0.058083,0.49047,0.75426,0.37332,0
-0.090269,-0.826438,0.509388,-0.151419,-0.11107,0.039631,0.58195,0.11991,0.79577,1
0.409148,-1.542102,0.870602,1.181878,0.1794,-0.13199,0.6443,-0.55689,-0.17004,1
-0.979308,0.706268,-1.936309,1.746816,-0.52552,-0.21219,0.17892,-0.087731,0.35965,1
0.050526,-0.076487,-0.03908,0.095542,0.23756,-0.7351,0.11374,0.037163,-0.004355,1
-0.110928,0.096437,0.891421,-0.15438,-0.38065,0.38331,0.026538,-0.45281,-0.37728,1
-0.928513,1.061121,0.669808,-0.27686,-0.1491,0.17127,0.61308,0.55072,0.4171,0
0.696539,0.839983,0.390848,-0.851443,-0.101,-0.026212,0.62196,0.6177,0.56866,0
0.313224,-0.213169,-0.896406,0.785572,0.22016,-0.32549,0.68866,0.073657,0.6146,1
-1.308689,1.574719,1.739382,-1.522856,-0.19737,-0.0636,0.20221,-0.49831,0.46844,0
-0.26106,0.24791,0.023835,-0.454441,-0.12603,0.2549,0.38518,0.43982,0.18998,0
1.500502,0.157003,1.678683,-0.958678,-0.48148,0.43848,0.51417,-0.030169,-0.15855,0
-0.051214,0.833339,0.263038,-0.25677,0.32709,0.27963,0.49304,-0.38392,-0.1774,0
0.393087,-0.666222,-0.048894,-0.553621,-0.25477,-0.16314,0.191,0.079112,0.054234,1
-0.668702,1.085974,-1.00868,-0.816731,0.000541,0.28063,0.21178,-0.24384,0.24349,0
0.785658,-0.027794,-0.541425,-0.400306,0.033561,0.17479,0.42325,-0.50163,-0.47115,1
-0.781565,-1.68974,-2.16359,1.296183,-0.1265,0.29178,0.24347,0.47678,0.031787,1
-1.668651,-0.299223,-0.84739,1.227316,0.052108,-0.28552,-0.13621,0.51203,0.08841,0
-1.579132,0.132886,1.284969,1.034285,0.055433,-0.054622,0.29815,0.70601,-0.091469,0
1.922207,0.099802,0.793073,-0.295414,0.23423,0.52553,-0.056512,0.042338,-0.35358,1
-1.001227,-1.031406,-0.014958,0.114895,-0.056236,0.39316,0.39618,0.67072,0.60399,0
-0.724117,0.576202,-0.054578,-0.162409,-0.026398,0.64501,0.48268,0.59157,0.36264,0
-0.652425,-0.217495,0.925047,-1.115241,0.13942,0.40311,0.51158,0.69789,-0.078068,0
1.661508,1.133788,0.470231,-0.160328,-0.11638,0.61265,0.56046,-0.69264,-0.37464,0
-1.112826,2.298306,0.190709,0.104642,0.087323,0.35817,0.34796,-0.23524,0.47672,0
-1.078386,2.183937,0.31257,-0.116107,0.37475,0.4395,0.5226,0.49713,0.64822,0
0.313316,0.567807,-0.535058,-0.853332,-0.17588,0.29249,0.33557,0.57813,0.46115,0
-0.789948,1.695977,1.261871,-0.303691,-0.57054,-0.52935,0.22382,-0.24155,-0.073679,0
-1.190072,-0.136786,-0.562974,0.463311,0.53317,0.13621,0.21116,0.28979,-0.26268,1
0.536783,1.999366,1.817908,0.740836,0.19438,0.17765,0.16657,-0.047346,0.19641,0
-0.855983,0.92646,-0.459463,-0.619508,0.065956,0.35698,0.42471,0.13945,0.39751,0
0.674965,1.020028,-0.148918,0.291832,0.11981,0.11288,0.041256,0.12326,-0.28928,1
-0.242588,-0.223688,1.308194,1.490609,0.3146,0.41851,0.55422,0.37856,0.42363,0
-0.657044,1.031603,0.242532,-1.286685,0.34458,0.71911,0.55018,0.24722,0.38704,0
1.952477,0.21235,0.31334,-0.37042,-0.24311,0.32566,0.32087,-0.082326,-0.10893,1
0.114295,0.057059,1.010662,-1.241711,0.12301,0.23251,0.48213,0.02482,0.5051,0
-1.25134,0.073576,0.328844,3.6623,0.23499,0.32241,0.7005,0.042845,0.27124,1
-0.94901,0.890747,1.358058,-2.207213,-0.22796,0.42489,0.37578,0.53742,0.2339,0
