@relation selectedTrain-weka.filters.unsupervised.attribute.Remove-R26-30-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R6

@attribute SBM_map67 numeric
@attribute FNC183 numeric
@attribute SBM_map61 numeric
@attribute FNC244 numeric
@attribute FNC295 numeric
@attribute SBM_map36 numeric
@attribute FNC37 numeric
@attribute FNC220 numeric
@attribute FNC78 numeric
@attribute FNC226 numeric
@attribute FNC189 numeric
@attribute FNC333 numeric
@attribute FNC211 numeric
@attribute FNC328 numeric
@attribute FNC171 numeric
@attribute FNC64 numeric
@attribute FNC353 numeric
@attribute FNC302 numeric
@attribute FNC243 numeric
@attribute SBM_map17 numeric
@attribute FNC293 numeric
@attribute Class {0,1}

@data
0.220316,0.023795,-0.982331,-0.018865,-0.082779,-1.062109,-0.086613,-0.054199,-0.43355,-0.27928,0.63662,0.26397,0.28285,-0.13481,0.26961,0.076665,-0.23049,0.59077,-0.4439,0.137624,0.3011,1
-0.513081,0.33393,-0.057543,0.20775,0.091096,0.044317,0.244,0.24349,0.20686,0.19712,0.63934,0.44444,0.70107,0.33773,0.69112,0.2926,-0.31699,0.33622,-0.11175,0.972934,-0.22497,0
-0.059213,0.10787,0.597229,0.021225,0.58768,0.414747,0.26291,0.10188,-0.29473,0.15024,0.45943,0.48058,0.18474,0.50066,0.49763,0.017753,-0.17144,0.50852,-0.34577,-1.488153,-0.24688,0
-0.791032,0.34136,0.829697,0.54228,0.27891,-0.026555,0.48581,0.50014,0.13414,0.45381,0.68031,0.27449,0.62594,0.21402,0.39344,0.26078,0.27329,0.63172,0.53232,0.187573,0.17853,0
0.889753,0.10896,-0.978412,-0.12422,-0.063681,-1.027496,-0.10551,0.022912,0.60275,-0.027493,0.42876,-0.58216,0.21171,-0.055689,-0.022911,0.086348,-0.49929,0.02553,0.030757,1.961955,0.14995,1
-0.741826,0.20451,1.304894,0.45701,0.50644,1.277215,0.006915,0.44005,-0.15771,0.091981,0.80831,0.039023,0.72386,0.41448,0.72435,0.63829,0.17972,0.45212,0.29394,0.24054,-0.16084,0
-0.558963,-0.32683,-0.721235,0.000779,-0.10141,0.178606,0.001213,0.40778,-0.029225,0.006547,0.66817,0.48318,0.32872,-0.067147,0.011751,0.37486,0.5939,0.2209,-0.35308,1.850079,0.16493,1
0.91698,0.076733,-0.041895,0.27559,0.52138,1.408724,0.23378,0.35163,-0.10818,0.14331,0.64657,-0.081725,0.37282,-0.25117,0.065076,0.23431,0.26903,-0.072706,-0.34492,0.519186,0.42114,1
1.287397,0.13041,-0.241914,0.062806,0.17461,0.025781,0.034187,0.15919,0.063081,0.057305,0.64008,0.56583,0.71639,0.32696,0.04811,0.16293,0.097121,0.6311,-0.25078,-0.155557,-0.10044,1
-0.706736,-0.18782,-0.873955,0.078067,0.19449,0.49458,0.22524,-0.091866,0.39485,-0.36025,0.38006,-0.36299,0.4504,0.073119,-0.19334,-0.30613,0.17878,0.06891,-0.60664,-0.403885,0.25191,0
