@relation 'data-weka.filters.unsupervised.attribute.Remove-R1-23,25,27-31,33-64,66-214,216-225,227-251,253-257,259-274,277-320,322-323,325-326,328-333,335-410'

@attribute SBM_map61 numeric
@attribute SBM_map67 numeric
@attribute SBM_map75 numeric
@attribute FNC33 numeric
@attribute FNC183 numeric
@attribute FNC194 numeric
@attribute FNC220 numeric
@attribute FNC226 numeric
@attribute FNC243 numeric
@attribute FNC244 numeric
@attribute FNC289 numeric
@attribute FNC292 numeric
@attribute FNC295 numeric
@attribute FNC302 numeric
@attribute Class {1,0}

@data
-0.982331,0.220316,-0.002006,0.21516,0.023795,0.36049,-0.054199,-0.27928,-0.4439,-0.018865,0.46593,0.61581,-0.082779,0.59077,1
-0.057543,-0.513081,-0.295125,0.70298,0.33393,0.4377,0.24349,0.19712,-0.11175,0.20775,0.20381,0.48724,0.091096,0.33622,0
0.597229,-0.059213,0.350434,0.51565,0.10787,0.40192,0.10188,0.15024,-0.34577,0.021225,0.61236,0.63207,0.58768,0.50852,0
0.829697,-0.791032,0.448966,0.64302,0.34136,0.81775,0.50014,0.45381,0.53232,0.54228,0.11616,0.45833,0.27891,0.63172,0
-0.978412,0.889753,-0.55144,0.25707,0.10896,0.31964,0.022912,-0.027493,0.030757,-0.12422,0.1104,0.27806,-0.063681,0.02553,1
1.304894,-0.741826,1.511061,0.84619,0.20451,0.81209,0.44005,0.091981,0.29394,0.45701,0.41027,0.7376,0.50644,0.45212,0
-0.721235,-0.558963,0.934988,0.23023,-0.32683,-0.11435,0.40778,0.006547,-0.35308,0.000779,0.055398,0.44896,-0.10141,0.2209,1
-0.041895,0.91698,-0.045953,0.094252,0.076733,0.61587,0.35163,0.14331,-0.34492,0.27559,-0.08893,0.61482,0.52138,-0.072706,1
-0.241914,1.287397,0.516312,0.35068,0.13041,-0.056492,0.15919,0.057305,-0.25078,0.062806,0.49024,-0.26536,0.17461,0.6311,1
-0.873955,-0.706736,-1.144871,0.404,-0.18782,0.26416,-0.091866,-0.36025,-0.60664,0.078067,0.1915,0.20549,0.19449,0.06891,0
0.359318,-0.541126,1.003364,0.72798,0.083238,0.17935,0.050433,0.7603,-0.42461,0.69985,-0.11057,-0.09113,-0.24269,-0.14703,1
-0.030364,-0.300549,-0.894148,0.82281,0.59092,0.12258,0.52456,0.42384,0.75426,0.37332,0.46991,0.63309,0.13801,0.26329,0
0.509388,-0.151419,0.043127,0.22264,-0.10562,0.73778,-0.20591,0.31537,0.11991,0.79577,-0.37384,0.36484,0.28967,0.046087,1
0.870602,1.181878,-0.788502,0.36899,0.10272,0.82447,0.73277,0.11645,-0.55689,-0.17004,0.5349,0.010489,0.48826,0.17889,1
-1.936309,1.746816,-1.480812,0.22586,-0.14353,0.095907,0.095195,0.1653,-0.087731,0.35965,0.47825,0.64966,0.292,0.3809,1
-0.03908,0.095542,-0.217101,-0.065368,-0.39756,-0.011324,0.49729,-0.036286,0.037163,-0.004355,-0.14299,0.42417,-0.05225,0.36666,1
0.891421,-0.15438,0.112957,0.56415,0.1867,0.72863,-0.11727,-0.032725,-0.45281,-0.37728,0.044497,0.19871,0.031606,0.11542,1
0.669808,-0.27686,-0.061511,0.47958,-0.24363,0.65693,0.36081,0.63874,0.55072,0.4171,0.10218,0.37757,0.15745,0.23919,0
0.390848,-0.851443,1.406561,0.71947,0.35805,0.60106,0.24205,0.64112,0.6177,0.56866,0.57487,0.44961,-0.23103,0.31418,0
-0.896406,0.785572,-1.026065,0.66877,0.34062,0.19131,0.32366,0.41569,0.073657,0.6146,-0.085182,-0.091613,0.059605,-0.37201,1
1.739382,-1.522856,1.367143,0.59077,-0.31074,0.68367,-0.082366,-0.081853,-0.49831,0.46844,0.078982,0.36052,-0.038682,-0.10686,0
