@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E auc ---Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute FNC41 numeric
@attribute FNC45 numeric
@attribute FNC54 numeric
@attribute FNC91 numeric
@attribute FNC109 numeric
@attribute FNC119 numeric
@attribute FNC159 numeric
@attribute FNC161 numeric
@attribute FNC183 numeric
@attribute FNC189 numeric
@attribute FNC192 numeric
@attribute FNC213 numeric
@attribute FNC214 numeric
@attribute FNC224 numeric
@attribute FNC233 numeric
@attribute FNC243 numeric
@attribute FNC245 numeric
@attribute FNC275 numeric
@attribute FNC279 numeric
@attribute FNC292 numeric
@attribute FNC293 numeric
@attribute FNC337 numeric
@attribute FNC340 numeric
@attribute FNC342 numeric
@attribute FNC378 numeric
@attribute SBM_map45 numeric
@attribute SBM_map61 numeric
@attribute Class {0,1}

@data
-0.27341,-0.18354,-0.22868,0.030801,0.26057,0.23635,-0.47517,-0.19039,0.023795,0.63662,0.30591,0.40787,0.35192,0.38344,0.078199,-0.4439,-0.12112,-0.023861,-0.11108,0.61581,0.3011,-0.048649,0.10551,0.43207,0.30774,-0.388249,-0.982331,1
0.12578,0.032675,0.5592,0.43203,0.71834,0.80388,0.15816,0.31656,0.33393,0.63934,0.55121,0.2136,0.26,-0.1657,-0.40117,-0.11175,0.38093,0.25657,-0.50168,0.48724,-0.22497,0.48321,0.27306,0.56157,0.64138,-0.612464,-0.057543,0
-0.21142,-0.096419,0.16783,0.3094,0.47085,0.61784,-0.097982,-0.026141,0.10787,0.45943,0.62661,0.12049,-0.005039,0.12935,-0.10328,-0.34577,0.26207,0.3542,0.33629,0.63207,-0.24688,-0.00633,0.32105,-0.25855,0.32316,1.249961,0.597229,0
0.25567,0.2837,0.73811,-0.081933,0.7089,0.38524,0.59295,0.15214,0.34136,0.68031,0.32887,0.49545,-0.10976,0.47945,-0.29025,0.53232,0.27758,0.43596,0.2489,0.45833,0.17853,0.22421,0.50273,-0.075026,0.10779,0.440149,0.829697,0
0.14388,0.038461,0.64999,-0.69712,0.21456,0.78768,-0.074484,0.31636,0.10896,0.42876,0.59814,0.43485,-0.2956,-0.022695,-0.15882,0.030757,0.13735,0.14387,0.30354,0.27806,0.14995,0.19757,0.51207,-0.4538,0.24307,1.293312,-0.978412,1
0.11215,0.30385,0.85458,0.13288,0.033928,0.40684,-0.13419,0.55504,0.20451,0.80831,0.76009,0.15827,0.38976,0.3898,-0.07627,0.29394,0.17935,-0.043375,0.49129,0.7376,-0.16084,0.31041,0.76245,0.014728,-0.062817,-0.679073,1.304894,0
-0.25488,0.026886,0.52766,0.077174,0.70394,0.13903,0.006327,0.1723,-0.32683,0.66817,0.26975,0.032161,0.18656,0.15498,0.11157,-0.35308,-0.070778,0.050589,0.03006,0.44896,0.16493,0.27259,0.58762,-0.12968,0.32221,1.39629,-0.721235,1
0.060366,-0.015753,0.52365,0.16713,0.25508,0.46879,0.039842,0.35007,0.076733,0.64657,0.021758,0.49597,-0.31765,0.16276,0.28656,-0.34492,0.60209,0.10598,0.39863,0.61482,0.42114,0.69439,-0.32106,-0.13175,-0.053345,0.322157,-0.041895,1
0.020893,-0.028648,-0.029935,-0.44595,0.76339,0.22399,-0.012757,0.16951,0.13041,0.64008,0.075176,0.15238,0.06014,-0.12266,-0.19162,-0.25078,-0.31858,0.051869,-0.1116,-0.26536,-0.10044,-0.094983,0.83014,-0.81855,0.36079,0.093788,-0.241914,1
0.29468,0.13281,0.62295,-0.17476,0.6889,0.3334,-0.0311,0.1543,-0.18782,0.38006,0.32139,-0.33743,0.075396,-0.31432,0.49773,-0.60664,-0.16724,-0.13797,-0.50842,0.20549,0.25191,0.21084,0.4092,-0.64314,0.5807,0.601516,-0.873955,0
0.28488,0.031775,0.60611,0.69344,0.64757,0.77546,-0.17013,-0.27616,0.083238,0.42131,-0.31847,-0.045895,0.030979,-0.059674,-0.000891,-0.42461,-0.47787,0.16625,0.24562,-0.09113,0.43447,0.44163,-0.064453,0.28383,0.90597,0.048079,0.359318,1
0.10172,-0.01644,0.69204,-0.10826,0.10822,0.55241,0.15379,0.28649,0.59092,0.77866,0.72012,0.08316,-0.077104,-0.22181,0.10062,0.75426,-0.045593,0.013791,-0.062681,0.63309,-0.030647,0.006832,0.72602,-0.17619,0.38131,0.796437,-0.030364,0
-0.28989,-0.22342,0.62068,-0.49541,0.68932,0.48279,-0.40065,-0.04592,-0.10562,0.35562,0.03045,-0.1629,-0.47582,-0.59644,-0.40901,0.11991,0.5229,-0.36716,-0.092142,0.36484,0.365,0.18206,0.53497,-0.096616,0.28932,1.087389,0.509388,1
0.39954,0.003294,0.41899,0.30197,0.48962,0.40437,0.26829,-0.16042,0.10272,0.52503,0.030916,0.40984,0.42913,0.014163,-0.03645,-0.55689,-0.009185,0.57923,0.047806,0.010489,0.54279,0.3744,0.4171,0.18449,0.027346,0.475815,0.870602,1
-0.49222,-0.1825,0.1243,0.027853,0.082704,0.54887,-0.19725,0.28722,-0.14353,0.55613,0.4376,-0.12776,-0.2188,0.20969,-0.40554,-0.087731,-0.15831,0.43145,0.046681,0.64966,-0.29026,-0.033143,0.42888,0.39848,0.037045,-0.454513,-1.936309,1
-0.039747,-0.094985,-0.11536,0.7047,-0.12124,0.051443,0.71462,-0.032742,-0.39756,0.63596,0.5453,0.53575,0.10899,0.22953,-0.19103,0.037163,-0.047979,-0.077849,0.25811,0.42417,0.38348,0.019361,0.83469,-0.49804,-0.07983,-1.467163,-0.03908,1
0.11638,0.16069,0.64254,-0.26297,0.14847,0.59342,-0.3604,0.21059,0.1867,0.079901,0.090619,0.33322,0.037442,-0.11746,0.1227,-0.45281,0.13628,-0.13739,0.21558,0.19871,-0.078843,0.40649,0.54255,0.11271,0.07112,1.039436,0.891421,1
0.13376,-0.02545,0.82992,-0.19854,0.59814,0.21618,-0.084807,0.47707,-0.24363,0.2921,0.62696,0.4018,0.37629,0.21263,-0.15005,0.55072,0.14498,0.23599,-0.039082,0.37757,-0.17026,-0.092663,0.45724,-0.38013,-0.24614,-0.151824,0.669808,0
-0.20669,-0.49078,0.76389,-0.49251,0.54406,0.81767,-0.31975,0.45361,0.35805,0.56692,0.3447,0.06391,-0.22223,0.26401,-0.46558,0.6177,-0.33359,0.042033,-0.16494,0.44961,-0.53305,-0.17953,-0.10753,-0.043338,-0.1736,-2.219093,0.390848,0
0.48759,-0.2671,-0.03696,-0.41704,0.60683,0.616,0.52303,0.006865,0.34062,0.47768,0.4929,0.61563,-0.40601,0.081917,0.05471,0.073657,-0.15966,0.5736,0.39776,-0.091613,0.11308,0.30641,0.10182,-0.21675,-0.2378,0.060083,-0.896406,1
0.011586,-0.29913,0.16116,-0.24967,0.16052,-0.20334,0.48897,0.46184,-0.31074,0.32415,0.33713,-0.22173,-0.10473,-0.019917,-0.26406,-0.49831,0.13582,0.46945,-0.016613,0.36052,0.42481,-0.24775,0.65251,-0.34215,0.41121,-0.595165,1.739382,0
-0.32095,-0.18695,0.14427,-0.24688,-0.008194,0.83034,-0.019322,0.17367,0.052357,0.49725,0.17156,0.14262,0.10526,0.042034,-0.12603,0.43982,0.006344,0.023898,0.071852,0.3313,-0.15873,-0.061339,0.43373,-0.38205,0.32868,-0.18926,0.023835,0
0.33796,-0.21325,0.65277,-0.51697,-0.23909,0.45035,-0.45343,0.57899,0.20134,0.58486,0.7113,0.27852,-0.1518,0.046535,0.29059,-0.030169,-0.35162,0.022146,0.15055,0.29632,0.31731,0.042554,0.19216,-0.34894,0.19824,1.24759,1.678683,0
0.28982,-0.081563,0.70119,0.34525,0.652,0.28765,0.05923,0.082916,0.26903,0.2218,0.24004,0.36131,0.022636,0.2789,0.21578,-0.38392,-0.37685,0.37475,0.061002,0.45893,-0.0688,0.3159,0.89518,-0.7749,0.50327,-0.178357,0.263038,0
-0.061444,0.031781,0.40459,-0.019612,0.11526,0.024602,-0.034442,0.28478,-0.46933,0.38353,0.39418,0.094641,-0.019377,0.092545,0.073032,0.079112,-0.031316,0.091184,0.11351,0.29328,0.18409,0.10086,0.60405,-0.23409,0.022464,-1.244791,-0.048894,1
0.38047,0.46185,-0.099205,0.018478,0.32128,0.57342,-0.32365,-0.21266,0.37356,0.59066,0.24336,0.017254,-0.090979,-0.17266,-0.08652,-0.24384,0.13884,0.36167,0.33978,0.34933,-0.000503,-0.39653,0.7821,-0.75412,0.10778,-0.977257,-1.00868,0
-0.41957,0.054732,0.14001,0.26557,-0.31488,0.54269,-0.36668,-0.015416,0.067898,0.31332,0.61934,0.064008,0.22507,-0.13181,-0.27912,-0.50163,-0.22911,-0.204,0.34726,0.39833,0.40294,0.23834,0.5268,-0.29384,-0.18176,0.068898,-0.541425,1
-0.16808,-0.23275,0.12648,-0.31795,0.44634,0.026014,-0.41915,0.27507,-0.27292,0.72339,0.27744,0.09275,-0.021738,0.29209,0.084149,0.47678,-0.49516,0.45361,0.37142,0.4268,0.018804,-0.26576,0.5816,-0.15822,-0.040095,0.338745,-2.16359,1
-0.04113,-0.15726,0.46664,0.096412,0.38015,0.35123,0.13521,-0.11723,0.15304,0.67857,0.30341,0.12673,0.37894,-0.10809,-0.36315,0.51203,-0.49813,0.034442,0.066739,0.52956,0.28047,-0.23274,0.49978,-0.48055,0.19845,0.457148,-0.84739,0
0.2813,0.40857,0.008363,0.014562,0.88631,-0.34915,-0.070483,0.15163,0.23197,0.42966,0.43635,0.20831,0.36938,0.5693,0.38858,0.70601,-0.13168,0.17788,0.064973,0.1325,0.076393,-0.28025,0.9169,-0.83011,-0.17545,1.190284,1.284969,0
-0.1871,-0.40024,0.43338,0.086858,0.15618,0.26099,-0.46822,0.42797,-0.39817,0.29316,0.75198,-0.005263,-0.12564,-0.15231,-0.11201,0.042338,-0.20919,0.007514,-0.045083,0.38609,-0.009633,0.024352,0.36392,0.24543,0.17551,0.193489,0.793073,1
-0.33302,0.016227,0.47254,0.10455,0.55489,0.66019,-0.21746,0.46173,-0.1084,0.52325,0.60086,0.027395,-0.15003,0.17509,-0.17988,0.67072,-0.046048,-0.11542,0.28074,0.32658,0.36231,0.23169,0.30621,-0.39158,0.352,1.093092,-0.014958,0
-0.058492,0.2248,0.53916,-0.2449,0.55053,0.42117,-0.36172,0.31953,0.13893,0.68647,0.32437,0.17186,0.004901,0.28772,-0.16484,0.59157,0.16908,0.11972,0.18291,0.29998,0.17729,0.33028,0.51406,0.079582,0.19548,0.670191,-0.054578,0
0.041784,0.22511,0.84851,0.48396,0.15392,0.63095,0.37025,0.10711,0.42228,0.39908,-0.10599,0.25697,0.54894,0.078553,0.47898,0.69789,0.14813,0.065915,0.50228,0.43938,-0.028428,0.18691,0.70763,-0.055939,-0.30087,0.39716,0.925047,0
-0.06297,0.019967,0.67287,-0.40576,0.57393,0.87116,0.27539,-0.077032,-0.18964,0.51887,0.37286,0.29259,-0.11565,-0.011739,0.013093,-0.69264,-0.33599,0.15388,-0.024651,0.45025,-0.036845,-0.06552,-0.093186,0.28116,0.11237,-0.340543,0.470231,0
0.33883,0.537,0.36592,-0.050071,0.50151,0.58534,0.011348,0.080833,0.20865,0.64645,0.46267,0.086159,0.22695,-0.14346,0.3256,-0.23524,0.13423,0.33675,0.42902,0.22372,-0.34764,-0.27096,-0.018518,-0.3179,0.30454,0.492088,0.190709,0
0.31343,-0.38235,0.72419,0.16699,0.10405,0.54508,0.27812,0.23813,0.02458,0.5814,0.33724,-0.04049,-0.035933,0.24828,-0.037188,0.49713,0.039901,-0.05795,0.098288,0.23049,0.21272,0.15011,0.42306,0.078305,0.27065,1.706764,0.31257,0
