Id,Probability
100004,0.524228
100015,0.461678
100026,0.48474
100030,0.587687
100047,0.686985
100052,0.348795
100056,0.479348
100061,0.419341
100067,0.180505
100068,0.654496
100082,0.337356
100084,0.308691
100097,0.753919
100098,0.490518
100100,0.250656
100122,0.280302
100128,0.405805
100134,0.71732
100138,0.114893
100146,0.717272
100161,0.428531
100167,0.591669
100184,0.406807
100187,0.445022
100189,0.520719
100202,0.310046
100206,0.717445
100212,0.871737
100218,0.51325
100219,0.485633
100226,0.721069
100227,0.692583
100229,0.63108
100243,0.533729
100257,0.332258
100258,0.30612
100265,0.568259
100274,0.65543
100276,0.051276
100287,0.554124
100289,0.48028
100294,0.444563
100307,0.650421
100313,0.538958
100322,0.082535
100326,0.427894
100332,0.457059
100334,0.296039
100339,0.604337
100344,0.485472
100351,0.182434
100359,0.765768
100375,0.830537
100392,0.494171
100401,0.382687
100403,0.679412
100419,0.237533
100426,0.286664
100432,0.456133
100433,0.501002
100444,0.270179
100448,0.432425
100452,0.401748
100456,0.43951
100465,0.566266
100475,0.085546
100479,0.154556
100483,0.327338
100490,0.485132
100492,0.734662
100499,0.732546
100505,0.135866
100509,0.721504
100513,0.855315
100514,0.320217
100519,0.550603
100528,0.24143
100530,0.639233
100536,0.323513
100541,0.808676
100543,0.534762
100544,0.244566
100554,0.290411
100562,0.886949
100563,0.309211
100569,0.659365
100572,0.601501
100574,0.940322
100578,0.409755
100594,0.689949
100595,0.346123
100598,0.179483
100603,0.254217
100604,0.1718
100606,0.786574
100617,0.278689
100634,0.274501
100638,0.632727
100641,0.371256
100649,0.794072
100653,0.377887
100654,0.580094
100655,0.312971
100676,0.453039
100678,0.743857
100692,0.164339
100698,0.499891
100703,0.45379
100708,0.310115
100712,0.745323
100713,0.361343
100716,0.589736
100722,0.419176
100729,0.652513
100733,0.562062
100739,0.62629
100747,0.6472
100751,0.151108
100759,0.585212
100765,0.631831
100767,0.501974
100772,0.435267
100780,0.668473
100783,0.37407
100787,0.615908
100815,0.465234
100817,0.411207
100818,0.268527
100830,0.368558
100840,0.658328
100843,0.702943
100857,0.344892
100859,0.180567
100865,0.561079
100873,0.708392
100886,0.833853
100893,0.658082
100896,0.205233
100913,0.782422
100918,0.887994
100921,0.480626
100928,0.530941
100945,0.612813
100947,0.396851
100952,0.368244
100955,0.54969
100959,0.125582
100960,0.666698
100962,0.570316
100972,0.622851
100980,0.479211
100999,0.150759
101000,0.647882
101002,0.090201
101003,0.340345
101010,0.371355
101012,0.597099
101023,0.357353
101031,0.724114
101039,0.623255
101040,0.141198
101050,0.203013
101054,0.719755
101056,0.813683
101060,0.291156
101068,0.62525
101082,0.490873
101083,0.36364
101093,0.487831
101099,0.406854
101107,0.460625
101111,0.235705
101113,0.628137
101115,0.453826
101119,0.42927
101123,0.408269
101125,0.818757
101129,0.573227
101130,0.502279
101132,0.440992
101135,0.755951
101140,0.526442
101145,0.371022
101153,0.365088
101156,0.720385
101159,0.621418
