Id,Probability
100004,0.626
100015,0.234
100026,0.574
100030,0.598
100047,0.576
100052,0.454
100056,0.478
100061,0.322
100067,0.466
100068,0.716
100082,0.492
100084,0.388
100097,0.688
100098,0.696
100100,0.376
100122,0.526
100128,0.608
100134,0.898
100138,0.44
100146,0.744
100161,0.346
100167,0.268
100184,0.344
100187,0.54
100189,0.398
100202,0.208
100206,0.638
100212,0.354
100218,0.636
100219,0.542
100226,0.316
100227,0.636
100229,0.31
100243,0.588
100257,0.494
100258,0.214
100265,0.48
100274,0.742
100276,0.408
100287,0.4
100289,0.44
100294,0.452
100307,0.44
100313,0.542
100322,0.438
100326,0.594
100332,0.584
100334,0.44
100339,0.46
100344,0.528
100351,0.482
100359,0.706
100375,0.78
100392,0.44
100401,0.57
100403,0.616
100419,0.258
100426,0.28
100432,0.538
100433,0.332
100444,0.566
100448,0.514
100452,0.454
100456,0.476
100465,0.4
100475,0.326
100479,0.294
100483,0.398
100490,0.392
100492,0.59
100499,0.42
100505,0.53
100509,0.568
100513,0.862
100514,0.418
100519,0.484
100528,0.532
100530,0.422
100536,0.4
100541,0.752
100543,0.672
100544,0.296
100554,0.484
100562,0.672
100563,0.284
100569,0.468
100572,0.604
100574,0.542
100578,0.502
100594,0.586
100595,0.606
100598,0.386
100603,0.68
100604,0.524
100606,0.704
100617,0.408
100634,0.452
100638,0.568
100641,0.426
100649,0.518
100653,0.56
100654,0.218
100655,0.158
100676,0.752
100678,0.42
100692,0.494
100698,0.512
100703,0.412
100708,0.724
100712,0.572
100713,0.33
100716,0.444
100722,0.546
100729,0.572
100733,0.758
100739,0.434
100747,0.67
100751,0.504
100759,0.562
100765,0.136
100767,0.684
100772,0.434
100780,0.356
100783,0.356
100787,0.586
100815,0.314
100817,0.412
100818,0.336
100830,0.38
100840,0.598
100843,0.51
100857,0.656
100859,0.234
100865,0.648
100873,0.73
100886,0.518
100893,0.718
100896,0.36
100913,0.628
100918,0.646
100921,0.446
100928,0.32
100945,0.546
100947,0.574
100952,0.514
100955,0.39
100959,0.302
100960,0.586
100962,0.432
100972,0.42
100980,0.596
100999,0.34
101000,0.38
101002,0.268
101003,0.618
101010,0.536
101012,0.468
101023,0.806
101031,0.786
101039,0.62
101040,0.23
101050,0.532
101054,0.788
101056,0.578
101060,0.514
101068,0.358
101082,0.464
101083,0.302
101093,0.294
101099,0.402
101107,0.372
101111,0.38
101113,0.622
101115,0.308
101119,0.548
101123,0.488
101125,0.544
101129,0.658
101130,0.406
101132,0.498
101135,0.478
101140,0.494
101145,0.44
101153,0.326
101156,0.714
101159,0.474
101162,0.626
101171,0.448
101181,0.204
101197,0.308
101228,0.302
101235,0.64
101238,0.498
101243,0.274
101256,0.606
101263,0.464
101264,0.436
101267,0.648
101298,0.47
101299,0.342
101304,0.388
101310,0.424
101314,0.27
101319,0.528
101320,0.372
101326,0.462
101336,0.218
101338,0.536
101342,0.648
101343,0.33
101348,0.216
101354,0.646
101361,0.63
101368,0.596
101375,0.638
101392,0.274
101394,0.392
101407,0.678
101415,0.48
101423,0.678
101434,0.418
101435,0.484
101436,0.44
101438,0.334
101440,0.378
101467,0.414
101474,0.494
101475,0.234
101479,0.478
101480,0.736
101486,0.21
101502,0.348
101511,0.808
101515,0.488
101527,0.296
101532,0.716
101540,0.254
101552,0.544
101557,0.468
101560,0.488
101562,0.454
101572,0.3
101573,0.26
101589,0.734
101594,0.234
101619,0.272
101630,0.59
101639,0.352
101641,0.52
101642,0.554
101643,0.624
101644,0.498
101645,0.49
101648,0.6
101652,0.434
101656,0.33
101660,0.372
101665,0.56
101668,0.732
101670,0.172
101673,0.562
101678,0.44
101679,0.63
101681,0.416
101683,0.578
101689,0.678
101692,0.748
101701,0.446
101706,0.408
101712,0.576
101719,0.484
101738,0.452
101741,0.308
101742,0.606
101759,0.396
101769,0.428
101770,0.848
101781,0.66
101795,0.344
101802,0.546
101809,0.454
101814,0.738
101820,0.632
101823,0.486
101840,0.18
101841,0.324
101842,0.534
101852,0.368
101859,0.554
101861,0.638
101876,0.39
101878,0.39
101883,0.438
101886,0.48
101893,0.138
101896,0.404
101898,0.636
101918,0.802
101924,0.728
101930,0.208
101937,0.538
101946,0.7
101948,0.504
101967,0.332
101968,0.57
101971,0.546
101972,0.498
101990,0.69
102021,0.302
102023,0.732
102033,0.848
102039,0.216
102046,0.556
102057,0.586
102059,0.542
102084,0.562
102087,0.566
102100,0.378
102113,0.572
102115,0.12
102116,0.786
102130,0.298
102140,0.72
102154,0.368
102155,0.88
102168,0.344
102193,0.638
102194,0.78
102199,0.552
102203,0.762
102210,0.498
102240,0.508
102254,0.542
102261,0.33
102272,0.692
102273,0.212
102274,0.236
102284,0.666
102291,0.48
102298,0.476
102299,0.422
102303,0.676
102308,0.462
102313,0.374
102314,0.358
102319,0.66
102333,0.252
102336,0.572
102343,0.726
102348,0.48
102349,0.406
102350,0.59
102354,0.856
102363,0.388
102367,0.626
102371,0.2
102373,0.298
102377,0.634
102389,0.432
102400,0.37
102406,0.368
102422,0.508
102433,0.526
102444,0.406
102445,0.822
102446,0.41
102457,0.386
102462,0.58
102466,0.682
102480,0.5
102484,0.346
102487,0.884
102494,0.246
102504,0.558
102505,0.528
102513,0.22
102517,0.56
102524,0.662
102525,0.252
102529,0.408
102534,0.486
102535,0.678
102548,0.186
102555,0.534
102559,0.448
102562,0.554
102574,0.548
102586,0.408
102592,0.272
102597,0.474
102609,0.518
102613,0.638
102617,0.258
102626,0.272
102629,0.472
102630,0.746
102635,0.434
102638,0.512
102641,0.28
102646,0.772
102657,0.436
102659,0.584
102674,0.242
102716,0.384
102720,0.812
102737,0.352
102748,0.552
102749,0.408
102758,0.392
102761,0.408
102778,0.446
102788,0.658
102795,0.472
102812,0.596
102820,0.386
102821,0.522
102827,0.228
102829,0.612
102835,0.522
102838,0.342
102841,0.306
102843,0.59
102848,0.456
102850,0.466
102855,0.3
102861,0.626
102891,0.616
102892,0.442
102910,0.284
102923,0.562
102942,0.586
102947,0.728
102953,0.414
102955,0.558
102958,0.656
102959,0.466
102971,0.944
102973,0.498
102974,0.624
102977,0.584
102988,0.672
103001,0.544
103006,0.326
103037,0.428
103038,0.312
103040,0.436
103049,0.526
103053,0.648
103061,0.648
103062,0.368
103076,0.526
103097,0.28
103102,0.504
103108,0.728
