Id,Probability
100004,0.009016
100015,0.018413
100026,0.949104
100030,0.040643
100047,0.74971
100052,0.937624
100056,0.500351
100061,0.999996
100067,0.991194
100068,0.004711
100082,0.99944
100084,0.130465
100097,0.995151
100098,1
100100,0.289824
100122,0.997577
100128,0.123557
100134,0.72612
100138,0.619529
100146,0.999166
100161,0.903275
100167,0.34076
100184,0.876858
100187,0.994751
100189,0.000146
100202,0.030269
100206,0.947523
100212,0.999709
100218,0.271343
100219,0.401653
100226,0.962977
100227,0.986697
100229,0.019224
100243,0.993453
100257,0.836194
100258,0.937515
100265,0.160275
100274,0.011164
100276,0.347444
100287,0.933074
100289,0.087368
100294,0.396482
100307,0.020608
100313,0.996041
100322,0.955021
100326,0.149593
100332,0.881975
100334,0.999863
100339,0.799888
100344,0.588117
100351,0.853098
100359,0.01437
100375,0.011393
100392,0.765203
100401,0.999849
100403,0.999861
100419,0.954002
100426,0.093498
100432,0.245525
100433,0.010403
100444,0.997142
100448,0.924812
100452,0.824283
100456,0.001512
100465,0.015251
100475,0.212372
100479,0.142699
100483,0.234168
100490,0.831196
100492,0.973631
100499,0.187042
100505,0.247887
100509,0.995208
100513,0.931252
100514,0.881835
100519,0.01018
100528,0.252644
100530,0.4131
100536,0.929283
100541,0.998496
100543,0.973491
100544,0.918377
100554,0.978733
100562,0.106515
100563,0.000103
100569,0.257558
100572,0.973844
100574,0.990361
100578,0.111676
100594,0.355604
100595,0.192711
100598,0.030979
100603,0.003098
100604,0.999456
100606,0.966451
100617,0.698315
100634,0.854714
100638,0.97619
100641,0.989937
100649,0.760223
100653,0.99939
100654,0.679059
100655,0.074786
100676,0.997172
100678,0.983126
100692,0.028832
100698,0.99999
100703,0.502193
100708,0.009998
100712,0.200511
100713,0.794939
100716,0.016536
100722,0.381314
100729,0.852336
100733,0.038643
100739,0.067466
100747,0.724028
100751,0.003586
100759,0.735901
100765,0.346542
100767,0.436095
100772,0.912207
100780,0.997164
100783,0.970471
100787,0.260045
100815,0.793763
100817,0.070184
100818,0.956958
100830,0.847109
100840,0.993376
100843,0.498329
100857,0.547736
100859,0.993094
100865,0.998491
100873,0.941803
100886,0.001143
100893,0.337711
100896,0.829993
100913,0.353731
100918,0.998713
100921,0.908507
100928,0.69346
100945,0.91062
100947,0.392475
100952,0.519194
100955,0.408984
100959,0.043047
100960,0.934304
100962,0.019213
100972,0.795352
100980,0.869251
100999,0.004557
101000,0.973367
101002,0.755867
101003,0.080106
101010,0.999892
101012,0.830135
101023,0.979811
101031,0.998103
101039,0.945278
101040,0.024921
101050,0.143816
101054,0.968264
101056,0.163426
101060,0.116518
101068,0.362871
101082,0.000325
101083,0.609731
101093,0.793388
101099,0.2828
101107,0.998776
101111,0.189832
101113,0.870506
101115,0.00072
101119,0.964456
101123,0.413718
101125,0.966794
101129,0.999021
101130,0.035697
101132,0.907369
101135,0.932946
101140,0.786047
101145,0.197502
101153,0.043664
101156,0.999891
101159,0.9988
101162,0.873694
101171,0.011995
101181,0.9623
101197,0.255876
101228,0.115954
101235,0.999795
101238,0.294367
101243,0.999616
101256,0.996191
101263,0.139258
101264,0.947499
101267,0.303572
101298,0.887053
101299,0.428474
101304,0.253999
101310,0.009182
101314,0.793057
101319,0.387485
101320,0.018302
101326,0.529339
101336,0.016493
101338,0.486032
101342,0.779514
101343,0.185106
101348,0.040897
101354,0.132893
101361,0.983937
101368,0.160043
101375,0.003786
101392,0.53991
101394,0.733084
101407,0.877647
101415,0.066886
101423,0.971354
101434,0.495665
101435,0.080618
101436,0.800783
101438,0.588685
101440,0.998586
101467,0.999997
101474,0.005068
101475,0.904128
101479,0.059776
101480,0.749878
101486,0.994946
101502,0.005725
101511,0.012255
101515,0.998605
101527,0.98092
101532,1
101540,0.05202
101552,0.973268
101557,0.945381
101560,0.808554
101562,0.952556
101572,0.000388
101573,0.986632
101589,0.431357
101594,0.179446
101619,0.760731
101630,0.922571
101639,0.786504
101641,0.760833
101642,0.000267
101643,0.996627
101644,0.570167
101645,0.996122
101648,0.999662
101652,0.021531
101656,0.055323
101660,0.832113
101665,0.757392
101668,0.738256
101670,0.001848
101673,0.018168
101678,0.04667
101679,0.998073
101681,0.352242
101683,0.063158
101689,0.973478
101692,0.972451
101701,0.367332
101706,0.081062
101712,0.920699
101719,0.995758
101738,0.089105
101741,0.000532
101742,0.997141
101759,0.018471
101769,0.824554
101770,0.752235
101781,0.990067
101795,0.531519
101802,0.023001
101809,0.001205
101814,0.975249
101820,0.812536
101823,0.36103
101840,0.023668
101841,0.497849
101842,0.917839
101852,0.992102
101859,0.008337
101861,0.998311
101876,0.999992
101878,0.76102
101883,0.991615
101886,0.883002
101893,0.001519
101896,0.046199
101898,0.979661
101918,0.983488
101924,0.472905
101930,0.243061
101937,0.94358
101946,0.94734
101948,0.99329
101967,0.143956
101968,0.400283
101971,1
101972,0.014585
101990,0.822539
102021,0.005138
102023,0.535024
102033,0.836842
102039,0.02725
102046,0.962239
102057,0.851911
102059,0.091042
102084,0.46304
102087,0.345505
102100,0.995601
102113,0.036941
102115,0.240437
102116,0.015649
102130,0.012432
102140,0.999929
102154,0.957335
102155,0.99913
102168,0.991673
102193,0.969974
102194,0.968917
102199,0.999804
102203,0.025919
102210,0.061576
102240,0.963881
102254,0.037913
102261,0.113591
102272,0.999298
102273,0.967871
102274,0.906001
102284,2.3e-05
102291,0.999996
102298,0.131822
102299,0.340451
102303,0.993046
102308,0.163693
102313,0.637755
102314,0.169772
102319,0.18886
102333,0.958149
102336,0.866474
102343,0.47157
102348,0.392639
102349,0.707986
102350,0.990328
102354,0.883787
102363,0.050325
102367,0.685157
102371,0.040076
102373,0.087437
102377,0.062539
102389,0.960448
102400,0.997232
102406,0.001059
102422,0.993702
102433,0.00118
102444,0.000628
102445,0.271532
102446,0.162492
102457,0.00256
102462,0.999989
102466,0.888023
102480,0.999798
102484,0.888603
102487,0.008537
102494,0.522453
102504,0.965323
102505,0.742906
102513,0.892372
102517,0.940343
102524,0.005947
102525,0.000253
102529,0.021555
102534,0.043934
102535,0.989181
102548,0.968314
102555,0.999121
102559,0.07259
102562,0.997616
102574,0.977183
102586,0.994787
102592,0.99228
102597,0.099894
102609,0.016622
102613,0.428401
102617,0.676709
102626,0.003674
102629,0.001788
102630,0.999926
102635,0.273409
102638,0.084227
102641,1e-06
102646,0.999996
102657,0.131356
102659,0.003392
102674,0.91784
102716,0.244431
102720,0.96631
102737,0.101588
102748,0.574694
102749,0.999963
102758,0.056707
102761,0.999999
102778,0.999907
102788,0.981887
102795,0.009207
102812,0.145658
102820,0.949387
102821,0.996446
102827,0.079361
102829,0.18646
102835,0.372994
102838,0.62863
102841,0.918783
102843,0.344458
102848,0.93809
102850,0.011406
102855,0.006363
102861,0.021327
102891,0.999999
102892,0.412074
102910,0.032689
102923,0.514266
102942,0.075307
102947,0.999508
102953,0.991004
102955,0.506569
102958,0.807097
102959,0.999986
102971,0.984637
102973,0.776061
102974,0.9997
102977,0.03708
102988,0.1331
103001,0.999859
103006,0.00081
103037,0.999794
103038,0.026561
103040,0.86419
103049,0.999999
